Verb,VerbNet Class,Situation Domain
FedEx,send-11.1,Motion
UPS,send-11.1,Motion
abandon,leave-51.2,Motion
abase,remedy-45.7,Transformation
abash,amuse-31.1,Affect
abate,other_cos-45.4,Transformation
abbreviate,other_cos-45.4,Transformation
abduct,steal-10.5,Possession
abhor,admire-31.2,Attend
abnegate,contribute-13.2,Possession
abolish,remove-10.1,Incremental
abound,swarm-47.5.1,Existence
abrade,other_cos-45.4,Transformation
abridge,other_cos-45.4,Transformation
absorb,absorb-39.8,Transformation
absorb,learn-14,Cognition
abstract,remove-10.1,Incremental
abuse,judgment-33.1,Affiliation
abuse,judgment-33.1,Cognition
abut,contiguous_location-47.8,Location
accelerate,other_cos-45.4,Transformation
accept,characterize-29.2,Communication
accept,obtain-13.5.2,Possession
acclaim,judgment-33.1,Affiliation
acclaim,judgment-33.1,Cognition
accompany,accompany-51.7,Motion
accord,future_having-13.3,Possession
accrue,obtain-13.5.2,Possession
accumulate,herd-47.5.2,Incremental
accumulate,obtain-13.5.2,Possession
acetify,other_cos-45.4,Transformation
ache,long-32.2,Volition
ache,marvel-31.3,Affect
ache,tingle-40.8.2,Existence
acidify,other_cos-45.4,Transformation
acknowledge,confess-37.10,Communication
acknowledge,consider-29.9,Cognition
acquaint,tell-37.2,Communication
acquire,obtain-13.5.2,Possession
act,masquerade-29.6,Affiliation
activate,other_cos-45.4,Transformation
actuate,engender-27.1,Causation
add,mix-22.1,Incremental
add,multiply-108,Quantification
add,say-37.7,Communication
address,illustrate-25.3,Incremental
adhere,cling-22.5,Incremental
adjoin,contiguous_location-47.8,Location
adjudge,declare-29.4,Communication
administer,contribute-13.2,Possession
admire,admire-31.2,Attend
admit,confess-37.10,Communication
admit,conjecture-29.5,Cognition
admix,mix-22.1,Incremental
admonish,advise-37.9,Communication
admonish,urge-58.1,Communication
adopt,appoint-29.1,Affiliation
adopt,characterize-29.2,Communication
adore,admire-31.2,Attend
adorn,illustrate-25.3,Incremental
adorn,ﬁll-9.8,Incremental
advance,escape-51.1,Motion
advance,future_having-13.3,Possession
advertise,indicate-78,Association
advise,advise-37.9,Communication
advise,say-37.7,Communication
affect,amuse-31.1,Affect
affirm,admire-31.2,Attend
affirm,conjecture-29.5,Cognition
affirm,indicate-78,Association
affix,tape-22.4,Incremental
afflict,amuse-31.1,Affect
affront,amuse-31.1,Affect
africanize,remedy-45.7,Transformation
age,other_cos-45.4,Transformation
agglomerate,other_cos-45.4,Transformation
aggravate,amuse-31.1,Affect
aggregate,herd-47.5.2,Incremental
aggrieve,amuse-31.1,Affect
agitate,amuse-31.1,Affect
agonize,amuse-31.1,Affect
agonize,marvel-31.3,Affect
agree,correspond-36.1,Communication
aim,intend-61.2,Volition
