Verb,Situation,VN_Class,Sense_1_ID,Sense_1_Def,Sense_2_ID,Sense_2_Def,Sense_3_ID,Sense_3_Def,Sense_4_ID,Sense_4_Def,Sense_5_ID,Sense_5_Def,Sense_6_ID,Sense_6_Def,Sense_7_ID,Sense_7_Def,Sense_8_ID,Sense_8_Def,Sense_9_ID,Sense_9_Def,Sense_10_ID,Sense_10_Def,Sense_11_ID,Sense_11_Def,Sense_12_ID,Sense_12_Def,Sense_13_ID,Sense_13_Def,Sense_14_ID,Sense_14_Def,Sense_15_ID,Sense_15_Def,Sense_16_ID,Sense_16_Def,Sense_17_ID,Sense_17_Def,Sense_18_ID,Sense_18_Def,Sense_19_ID,Sense_19_Def,Sense_20_ID,Sense_20_Def,Sense_21_ID,Sense_21_Def
FedEx,Motion,send-11.1,fedex.01,send via federal express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS,Motion,send-11.1,ups.01,send via ups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abandon,Motion,leave-51.2,abandon.01,leave behind,abandon.02,exchange,abandon.03,"surrender, give_over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abase,Transformation,remedy-45.7,abase.01,"to lower in estimation, humble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abash,Affect,amuse-31.1,abash.01,cause shame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abate,Transformation,other_cos-45.4,abate.01,"to decrease,  become less strong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbreviate,Transformation,other_cos-45.4,abbreviate.01,"make shorter, especially words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abduct,Possession,steal-10.5,abduct.01,to carry someone off by force,abduct.02,move away from a central axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abhor,Attend,admire-31.2,abhor.01,despise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abnegate,Possession,contribute-13.2,abnegate.01,"to give up, renounce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
